"county","start_year","enrolled","complete","pc_incomplete"
"Tehama",2010,988,906,8.3
"Tehama",2011,910,854,6.15
"Tehama",2012,892,832,6.73
"Tehama",2013,996,932,6.43
"Tehama",2014,946,896,5.29
"Tehama",2015,981,922,6.01
"Trinity",2001,113,105,7.08
"Trinity",2002,85,83,2.35
"Trinity",2003,112,95,15.18
"Trinity",2004,95,79,16.84
"Trinity",2005,108,89,17.59
"Trinity",2006,108,94,12.96
"Trinity",2007,90,76,15.56
"Trinity",2008,117,97,17.09
"Trinity",2009,61,56,8.2
"Trinity",2010,116,95,18.1
"Trinity",2011,81,67,17.28
"Trinity",2012,91,73,19.78
"Trinity",2013,98,74,24.49
"Trinity",2014,87,73,16.09
"Trinity",2015,125,94,24.8
"Tulare",2001,7306,6851,6.23
"Tulare",2002,7403,7058,4.66
"Tulare",2003,7619,7304,4.13
"Tulare",2004,7727,7424,3.92
"Tulare",2005,8009,7768,3.01
"Tulare",2006,7976,7745,2.9
"Tulare",2007,8045,7762,3.52
"Tulare",2008,8173,7902,3.32
"Tulare",2009,7442,7144,4
"Tulare",2010,8323,8023,3.6
"Tulare",2011,8529,8190,3.97
"Tulare",2012,8640,8202,5.07
"Tulare",2013,8695,8396,3.44
"Tulare",2014,9286,8967,3.44
"Tulare",2015,9242,8978,2.86
"Tuolumne",2001,564,425,24.65
"Tuolumne",2002,519,454,12.52
"Tuolumne",2003,501,415,17.17
"Tuolumne",2004,529,486,8.13
"Tuolumne",2005,464,395,14.87
"Tuolumne",2006,509,427,16.11
"Tuolumne",2007,443,334,24.6
"Tuolumne",2008,519,405,21.97
"Tuolumne",2009,473,348,26.43
"Tuolumne",2010,435,328,24.6
"Tuolumne",2011,494,369,25.3
"Tuolumne",2012,446,337,24.44
"Tuolumne",2013,518,395,23.75
"Tuolumne",2014,438,346,21
"Tuolumne",2015,547,429,21.57
"Ventura",2001,12034,10679,11.26
"Ventura",2002,12308,10982,10.77
"Ventura",2003,11900,10830,8.99
"Ventura",2004,11568,10416,9.96
"Ventura",2005,11665,10416,10.71
"Ventura",2006,11228,10313,8.15
"Ventura",2007,11071,10122,8.57
"Ventura",2008,11551,10331,10.56
"Ventura",2009,11683,10452,10.54
"Ventura",2010,11830,10495,11.28
"Ventura",2011,12111,10780,10.99
"Ventura",2012,12000,10709,10.76
"Ventura",2013,11757,10436,11.24
"Ventura",2014,12048,10856,9.89
"Ventura",2015,12622,11886,5.83
"Yolo",2001,2285,2102,8.01
"Yolo",2002,2430,2237,7.94
"Yolo",2003,2237,2100,6.12
"Yolo",2004,2234,2122,5.01
"Yolo",2005,2304,2220,3.65
"Yolo",2006,2277,2171,4.66
"Yolo",2007,2391,2234,6.57
"Yolo",2008,2441,2232,8.56
"Yolo",2009,2380,2238,5.97
"Yolo",2010,2423,2154,11.1
"Yolo",2011,2568,2381,7.28
"Yolo",2012,2406,2201,8.52
"Yolo",2013,2555,2338,8.49
"Yolo",2014,2478,2298,7.26
"Yolo",2015,2713,2490,8.22
"Yuba",2001,1220,1014,16.89
"Yuba",2002,1209,1045,13.56
"Yuba",2003,1120,982,12.32
"Yuba",2004,1054,970,7.97
"Yuba",2005,1160,1031,11.12
"Yuba",2006,1172,1062,9.39
"Yuba",2007,1133,1019,10.06
"Yuba",2008,1153,1057,8.33
"Yuba",2009,1178,1061,9.93
"Yuba",2010,1214,1060,12.69
"Yuba",2011,1222,1098,10.15
"Yuba",2012,1231,1077,12.51
"Yuba",2013,1274,1176,7.69
"Yuba",2014,1251,1202,3.92
"Yuba",2015,1385,1313,5.2
