dam_ID,dam_name,dam_height,storage,file,permit,water_right,exempt_category,river,basin,county,wm_district,wm_region,meridian,township,township_char,range,range_char,sctn,latitude,longitude,last_inspection_state,next_inspection,hazard
OR01416,Coglan Reservoir,15,18.8,C-23,R-7392,Cert:78666 OR *,FEDERAL,Coglan Canyon,13,LAKE,12,SC REGION,WM,33,S,20,E,33,42.66699981,-120.3721466,,,L
OR01417,Coker Butte Reservoir,10,9.2,C-18,R-7949,Cert:56206 OR *,small - under 10 ft - letter from engineer in file,"South Fork Upton Slough, Trib to",15,JACK,13,SW REGION,WM,37,S,1,W,8,42.3681488,-122.84574127,2010-02-05,2016,L
OR01430,Cook Reservoir (Wash),27.5,13.6,C-72,R-5756,Cert:44238 OR *,,"Tualatin River, Trib to",2,WASH,18,NW REGION,WM,1,S,3,W,28,45.45536041,-123.06645965,2015-03-19,2018,S
OR01435,Copp Reservoir,12,16,C-27,R-1296,Cert:21362 OR *,,,2,POLK,16,NW REGION,WM,7,S,5,W,10,44.97164916,-123.28249359,2009-04-30,2015,L
OR01436,Coquille Plywood Mill Pond,11,180,LP-6,R-1966,Cert:26351 OR *,,Coquille River,17,COOS,19,SW REGION,WM,28,S,13,W,2,43.18017959,-124.21240234,2009-01-30,2015,L
OR01462,Coyote Holes Reservoir,10.2,10.5,C-43,R-7333,Cert:74856 CR *,FEDERAL,"Dry Creek, Trib to",11,MALH,9,E REGION,WM,35,S,44,E,6,42.53427124,-117.36016082,,,L
OR01472,Crestbrook Upper Reservoir,20,20,C-25,R-9685,Cert:64550 OR *,,Mud Creek and Trib to,15,JACK,13,SW REGION,WM,37,S,1,W,27,42.32415008,-122.80313873,2010-02-03,2016,L
OR01477,Crows Nest Reservoir,21.8,48.6,C-34,R-11462,Permit: R  11462 *,FEDERAL,"Dry Creek, Trib to",11,MALH,9,E REGION,WM,34,S,43,E,2,42.62187957,-117.39961242,,,L
OR01485,Cutsforth Dam,12,21,C-86,R-7820,Cert:83161 OR *,,Rasmus Meadow Creek,6,MORR,4,NC REGION,WM,5,S,28,E,9,45.15195846,-119.34523773,2008-12-05,2014,L
OR01502,Dayton Facility Waste Reservoir,11,31.5,D-23,R-8288,Cert:58854 OR *,,Wastewater from Brining,2,YAMH,16,NW REGION,WM,4,S,3,W,33,45.18033981,-123.06446075,2010-11-22,2016,L
OR01503,DeRaeve Reservoir #2,22,103,D-45,R-10482,Cert:83202 OR *,,"Ash Swale, Trib to",2,POLK,16,NW REGION,WM,6,S,4,W,7,45.0580902,-123.22476196,2011-04-06,2017,L
OR01516,Deardorff #11 (small),11,27.2,D-31,R-5314,Cert:41496 OR *,,Beaver Creek & Little Coal Creek,2,CLAC,16,NW REGION,WM,6,S,2,E,27,45.01416015,-122.54601287,2015-10-02,2021,L
OR01518,Deep Creek Reservoir,16,10,D-29,R-708,Cert:26904 OR *,,Deep Creek,2,CLAC,20,NW REGION,WM,2,S,4,E,34,45.35115051,-122.30039215,2010-10-06,2016,L
OR01538,Devers Reservoir 1,16.5,9.7,D-12,R-5389,Cert:40049 OR *,,,2,MARI,16,NW REGION,WM,7,S,1,E,2,44.98984909,-122.64498901,2015-09-28,2021,L
OR01540,Devils Lake (Klamath),16,1080,D-7,R-1613,Cert:24634 OR *,,Trib to Fish Hole Creek,14,KLAM,17,SC REGION,WM,37,S,15,E,33,42.31254959,-120.95484924,2010-11-05,2016,L
OR01543,Diack Reservoir,26,20,D-24,R-1498,Cert:29764 OR *,,"Sandy River, Trib of",3,MULT,20,NW REGION,WM,1,S,4,E,22,45.47439956,-122.29824829,2009-04-08,2015,L
OR01546,Diatomite Reservoir,12,10.1,D-6,R-7391,Cert:68769 OR *,FEDERAL,"Poverty Basin, Trib to",13,LAKE,12,SC REGION,WM,30,S,20,E,12,42.97800064,-120.29035949,,,L
OR01573,Drain Sewage Lagoon,17,40,LG-3,,,,City Sewage,16,DOUG,15,SW REGION,WM,22,S,5,W,17,43.65835952,-123.32631683,2012-01-17,2015,S
OR01574,Drescher Reservoir,21,21.2,D-32,R-1943,Cert:29312 OR *,,Drescher Creek,2,CLAC,16,NW REGION,WM,5,S,1,E,30,45.10843333,-122.740825,2014-10-16,2017,S
OR01580,Drift Reservoir (BLM),16,10,D-27,R-9242,Cert:67441 OR *,FEDERAL,"Piute Creek, Trib to",12,LAKE,10,E REGION,WM,40,S,26,E,14,42.09389114,-119.61441802,,,L
OR01599,Dry Hole Reservoir,11.6,10,D-21,R-7337,Cert:52174 OR *,FEDERAL,"Dry Creek, Trib to",11,MALH,9,E REGION,WM,35,S,43,E,9,42.51387023,-117.43739318,,,L
OR01632,Echave Reservoir #3 (BLM),12.4,9.8,E-3,R-8798,Permit: R  8798 *,FEDERAL,Blue Mtn. Draw,11,MALH,9,E REGION,WM,38,S,41,E,21,42.26448059,-117.90721893,,,L
OR01635,Ed Zach A,18,33.5,Z-11,R-5408,Cert:40039 OR *,,Bocklee Creek,2,MARI,16,NW REGION,WM,5,S,1,W,35,45.0943489,-122.77397155,2015-10-20,2021,L
OR01643,Eiguren Reservoir,24,9.3,E-16,R-7259,Cert:58150 OR *,FEDERAL,"Owyhee River, Trib to",11,MALH,9,E REGION,WM,31,S,43,E,24,42.84811019,-117.39981079,,,L
OR01648,Eleanor,16,18,E-5,R-2149,Cert:29842 OR *,,Big Lick,16,DOUG,15,SW REGION,WM,29,S,4,W,6,43.08074951,-123.21994018,2013-10-18,2019,L
OR01653,Emil Creek Reg. Dam,20,10.7,E-22,R-4576,Cert:46266 OR *,,Coe & Elliott Creeks,4,HOOD,3,NC REGION,WM,1,N,10,E,32,45.52190017,-121.59020233,2013-05-16,2019,L
OR01654,Emmel Bros. Reservoir,27,11.5,E-27,R-8367,,,Slaugherhouse Gulch,6,GRAN,4,NC REGION,WM,12,S,34,E,30,44.5024414,-118.67091369,2009-12-03,2015,L
OR01657,Eola Hills Reservoir,19,36.7,C-69,R-9965,Cert:62251 OR *,,"King Creek, Trib to",2,POLK,16,NW REGION,WM,6,S,4,W,13,45.04376983,-123.12877655,2015-09-03,2018,S
